### Module positions - created on 10/15/17 15:01:06 ###
### Printed by Pcbnew version kicad 4.0.6
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val              Package                          PosX       PosY       Rot  Side
L20       82n              C_0603                        19.1500    42.5300  180.0000  top
L21       33n              C_0603                         8.9500    40.3300  270.0000  top
L22       75n              C_0402                        12.2500    40.6300  270.0000  top
L23       120n             C_0805                        22.6000    43.5300  270.0000  top
L24       33n              C_0603                         8.9000    44.7800  270.0000  top
L25       75n              C_0402                        11.7000    43.1800    0.0000  top
L26       120n             C_0805                        21.6000    47.2800    0.0000  top
L27       24n              C_0603                         8.9000    49.0300  270.0000  top
L28       47n              C_0603                        11.1500    46.0300  270.0000  top
L29       82n              C_0603                        19.8500    49.7800    0.0000  top
L30       DNP              C_0603                        28.4500    49.6800    0.0000  top
L31       DNP              C_0603                        28.4500    45.0800    0.0000  top
L32       DNP              C_0603                        14.6000    52.2800  180.0000  top
L33       DNP              C_0603                         8.9500    14.9800  180.0000  top
L301      DNP              C_0603                        15.6500    10.6800   90.0000  top
Q1        NTGD1100L        SC-74                         26.1000    -4.2200   90.0000  top
Q5        BSS138           SOT-23                        35.6000    43.7800   90.0000  top
Q6        BSS138           SOT-23                        39.6000    43.7800   90.0000  top
Q7        BSS138           SOT-23                        43.6000    43.7800   90.0000  top
R1        10k              R_0402                        36.1000    41.2800  180.0000  top
R2        0                R_0402                        27.8750    12.9800   90.0000  top
R3        0                R_0402                        18.0500     8.4300  180.0000  top
R4        10k              R_0402                        25.4500    -6.5700  180.0000  top
R5        49.9             R_0402                        18.1500    41.4300  180.0000  top
R6        10k              R_0402                        42.5200    14.3000   90.0000  top
R7        10k              R_0402                        42.9500    20.2300    0.0000  top
R8        1.8              R_0402                         8.3500     8.6800    0.0000  top
R9        10k              R_0402                        13.3600    53.7800    0.0000  top
R10       52.3k            R_0402                        43.8300    29.4700    0.0000  top
R11       10k              R_0402                        43.8300    30.8100  180.0000  top
R12       10k              R_0402                        41.1800    19.2400  270.0000  top
R13       10k              R_0402                        41.1000    16.6300   90.0000  top
R14       10k              R_0402                        40.1000    41.2800  180.0000  top
R15       10k              R_0402                        44.1000    41.2800  180.0000  top
R16       10k              R_0402                        35.1500    46.2800  180.0000  top
R17       DNP              R_0402                        26.7500    12.9800   90.0000  top
R20       330              R_0402                        10.6000    -2.2200  270.0000  top
R22       330              R_0402                         7.1000    -2.2200  270.0000  top
R23       13.3             R_0402                        44.8600    20.2600    0.0000  top
R24       1.47k            R_0402                        42.6000    24.8300   90.0000  top
R27       100k             R_0402                        46.0000    16.6300  270.0000  top
R28       100k             R_0402                        47.4300    17.5400   90.0000  top
R31       2k               R_0402                        36.8300     6.9600  270.0000  top
R36       10k              R_0402                        43.1500    46.2800  180.0000  top
R37       10k              R_0402                        39.1500    46.2800  180.0000  top
S1        TAC_SWITCHSMD    SWITCH_TACTILE_SMD_8mmX5mm    37.2000    54.9800  180.0000  top
U1        AU1846           QFN32-5x5                     22.1000    10.1800  180.0000  top
U2        MCP16311         DFN-8-1EP_3x2mm_Pitch0.5mm    42.8300    32.9700  180.0000  top
U3        AD8591           SOT23-6                       43.4600    17.4800  180.0000  top
U4        TRF37A75         DFN-8-1EP_2x2mm_Pitch0.5mm    10.5000    11.6800  180.0000  top
U6        AP2125N-3.3TRG1  SOT-23                        35.4000    25.2800    0.0000  top
U9        TQP7M9105        SOT89-3_Housing               14.1500    30.5300    0.0000  top
U10       SKY13388         QFN-12-2mm-x-2mm              13.8500    49.7800    0.0000  top
U11       SKY13388         QFN-12-2mm-x-2mm              15.6000    40.0800  270.0000  top
U12       NC7WZ14          SC-70-6                       16.4000    -4.1200   90.0000  top
Y1        12.8MHz          CRYSTAL-SMD-5X3               30.8500    12.7300   90.0000  top
## End
